age,default,balance,housing,loan,day,duration,campaign,pdays,previous,deposit,month_num,quarter,log_balance,contact_score,reach_efficiency,engagement_score,contact_intensity,high_loan_burden,risk_score,history_score,age_balance,duration_campaign,previous_duration,age_previous,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,education_secondary,education_tertiary,education_unknown,contact_telephone,contact_unknown,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,poutcome_other,poutcome_success,poutcome_unknown,age_group_26-35,age_group_36-45,age_group_46-60,age_group_60+,generation_Gen X,generation_Gen Z,generation_Millennial,balance_category_Medium Balance,balance_category_High Balance,balance_category_Premium Customer,season_Spring,season_Summer,season_Winter
1.1764705882352942,no,0.8761270724581074,yes,no,5,2.1983240223463687,-1.035924724733408,-0.580741286073023,0.0,1,5,2,0.5502149784264989,-0.3333333333333333,0.0,0.0,521.0,0,1,0,138237,1042,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False
1.0,no,-0.8223144144763578,no,no,5,3.3854748603351954,-1.035924724733408,-0.580741286073023,0.0,1,5,2,-0.9436112176466864,-0.3333333333333333,0.0,0.0,733.5,0,0,0,2520,1467,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False
0.11764705882352941,no,0.34770425344681705,yes,no,5,3.1675977653631286,-1.035924724733408,-0.580741286073023,0.0,1,5,2,0.3176253194256953,-0.3333333333333333,0.0,0.0,694.5,0,1,0,52070,1389,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False
0.9411764705882353,no,0.926925396442516,yes,no,5,0.9050279329608939,-1.035924724733408,-0.580741286073023,0.0,1,5,2,0.5711876982995401,-0.3333333333333333,0.0,0.0,289.5,0,1,0,136180,579,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False
0.8823529411764706,no,-0.6355030640822463,no,no,5,1.1675977653631284,0.25354003077374343,-0.580741286073023,0.0,1,5,2,-0.4147397141100041,0.0,0.0,0.0,224.33333333333334,0,0,0,9936,1346,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False
0.17647058823529413,no,-0.8862079402757075,yes,yes,5,0.8575418994413407,0.25354003077374343,-0.580741286073023,0.0,1,5,2,-2.3985500256868924,0.0,0.0,0.0,187.33333333333334,1,2,0,0,1124,0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False
1.0,no,0.03376146318079618,yes,yes,6,2.642458100558659,-1.035924724733408,-0.580741286073023,0.0,1,5,2,0.15614600554545421,-0.3333333333333333,0.0,0.0,600.5,1,2,0,46480,1201,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False
1.2352941176470589,no,-0.22315790030644939,yes,no,6,2.164804469273743,-1.035924724733408,-0.580741286073023,0.0,1,5,2,-0.0034641478319450375,-0.3333333333333333,0.0,0.0,515.0,0,1,0,32700,1030,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False
-0.11764705882352941,no,-0.8847698109721037,yes,no,6,0.9860335195530726,-1.035924724733408,-0.580741286073023,0.0,1,5,2,-2.1351441257232366,-0.3333333333333333,0.0,0.0,304.0,0,1,0,37,608,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False
-0.6470588235294118,no,1.609965127715769,yes,no,6,2.910614525139665,0.8706628081466983,-0.580741286073023,0.0,1,5,2,0.8449599893518258,0.3333333333333333,0.0,0.0,324.25,0,1,0,142520,3891,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False
